singer,title,film_album,film_or_nonfilm,year,Language,download_path,file_size_mb,duration_seconds,quality_score,download_timestamp,url_used,processing_status
Lata Mangeshkar,Aap Ki Nazron Ne Samjha,Anpadh,Film,1962,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Aap Ki Nazron Ne Samjha_1962.flac,34.44698143005371,0,0,2025-09-03 12:20:46,https://www.youtube.com/watch?v=Kt91AjgLsw4,DOWNLOADED
Lata Mangeshkar,Aayega Aanewala,Mahal,Film,1949,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Aayega Aanewala_1949.flac,27.859898567199707,0,0,2025-09-03 12:20:47,https://www.youtube.com/watch?v=e24S6d4e3QA,DOWNLOADED
Lata Mangeshkar,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Film,1960,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Ajib Dastan Hai Yeh_1960.flac,38.11798000335693,0,0,2025-09-03 12:20:47,https://www.youtube.com/watch?v=niSarMZ2t7g,DOWNLOADED
Lata Mangeshkar,Pyar Kiya To Darna Kya,Mughal-E-Azam,Film,1960,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Pyar Kiya To Darna Kya_1960.flac,18.86780548095703,0,0,2025-09-03 12:20:47,https://www.youtube.com/watch?v=FzVG01dDTCA,DOWNLOADED
Lata Mangeshkar,Tera Mera Pyar Amar,Asli Naqli,Film,1962,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Tera Mera Pyar Amar_1962.flac,22.565017700195312,0,0,2025-09-03 12:20:59,https://www.youtube.com/watch?v=tN9U0tkJnPs,DOWNLOADED
Lata Mangeshkar,Lag Ja Gale Se Phir,Woh Kaun Thi,Film,1964,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Lag Ja Gale Se Phir_1964.flac,31.72865867614746,0,0,2025-09-03 12:21:00,https://www.youtube.com/watch?v=QNkx29eckdY,DOWNLOADED
Lata Mangeshkar,Aaj Phir Jeene Ki Tamanna Hai,Guide,Film,1965,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Aaj Phir Jeene Ki Tamanna Hai_1965.flac,31.683518409729004,0,0,2025-09-03 12:21:01,https://www.youtube.com/watch?v=pvQaiXjNmKo,DOWNLOADED
Lata Mangeshkar,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Film,1962,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Kahin Deep Jale Kahin Dil_1962.flac,85.79380893707275,0,0,2025-09-03 12:21:03,https://www.youtube.com/watch?v=YHOpVcKfFJk,DOWNLOADED
Lata Mangeshkar,Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,Film,1965,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Ye Samaa Samaa Hai Pyar Ka_1965.flac,35.942912101745605,0,0,2025-09-03 12:21:13,https://www.youtube.com/watch?v=vN9OhBA0owc,DOWNLOADED
Lata Mangeshkar,Piya Tose Naina Laage Re,Guide,Film,1965,Hindi,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads/Hindi/Lata Mangeshkar/unknown_Lata Mangeshkar_Piya Tose Naina Laage Re_1965.flac,71.26170921325684,0,0,2025-09-03 12:21:14,https://www.youtube.com/watch?v=_lgACMqCpus,DOWNLOADED
